"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016241","regulation of macroautophagy","16/587","159/18870",3.75704432122698e-05,0.00972581306387035,0.00898949094198666,"5899/2773/55187/11152/523/836/8678/7249/8992/7248/401548/9517/58533/25782/51100/2081",16
"GO:0046486","glycerolipid metabolic process","28/587","390/18870",3.85548872836704e-05,0.00972581306387035,0.00898949094198666,"1374/11057/84188/55326/8813/1040/64924/10026/5781/160851/129642/847/8678/23259/6400/1373/8443/8871/1119/55294/200576/253430/51604/56894/9926/253558/9388/137964",28
"GO:0071364","cellular response to epidermal growth factor stimulus","8/587","42/18870",3.87664295629064e-05,0.00972581306387035,0.00898949094198666,"5781/1915/5151/8678/8826/58533/4691/8882",8
"GO:0008380","RNA splicing","32/587","478/18870",4.33779983182897e-05,0.0102781757126392,0.00950003530421022,"26834/23524/9879/10658/54407/26835/26986/11171/7009/9444/26831/3190/81669/101954269/55015/101447996/6431/9295/26830/3303/3181/3958/22889/2081/4691/9169/9584/27339/8882/25804/29890/10150",32
"GO:0008654","phospholipid biosynthetic process","21/587","254/18870",4.87298435313654e-05,0.0109385675084881,0.0101104301398872,"84188/55326/3417/8813/1040/64924/10026/160851/129642/8678/3157/8443/8871/1119/200576/9517/51604/56894/9926/253558/137964",21
"GO:0010506","regulation of autophagy","26/587","355/18870",5.20086982488587e-05,0.0110908549015691,0.0102511881548408,"2033/5899/2773/55187/27/55054/1915/11152/523/836/373/8678/23012/23032/25793/7249/55294/8992/7248/401548/9517/58533/25782/51100/2081/140710",26
"GO:0007264","small GTPase mediated signal transduction","32/587","491/18870",7.21879569202358e-05,0.0146285870377197,0.0135210855695096,"6478/5899/8036/22898/9855/10971/27/10260/10451/9101/10152/4893/23362/23075/6386/9475/7249/23365/1121/10928/9908/1718/9743/5925/6655/94134/23607/4851/57186/5863/5894/3675",32
"GO:0006639","acylglycerol metabolic process","14/587","134/18870",7.54581277443926e-05,0.0146285870377197,0.0135210855695096,"1374/11057/55326/5781/160851/847/23259/6400/1373/8443/55294/9926/9388/137964",14
"GO:0006638","neutral lipid metabolic process","14/587","135/18870",8.18332628189042e-05,0.0151747333009837,0.0140258841765124,"1374/11057/55326/5781/160851/847/23259/6400/1373/8443/55294/9926/9388/137964",14
"GO:0031647","regulation of protein stability","24/587","325/18870",8.80779790727826e-05,0.0156521908643924,0.0144671943696303,"3329/9532/2033/444/6201/908/10471/284996/9101/8409/836/57646/6400/23032/25793/5886/55294/10491/7248/3303/5217/51100/5190/10576",24
"GO:0016239","positive regulation of macroautophagy","10/587","75/18870",0.000105678507798232,0.0178859605687264,0.0165318497759932,"5899/2773/55187/11152/8678/7249/401548/9517/25782/51100",10
"GO:0031669","cellular response to nutrient levels","20/587","251/18870",0.000121543496056852,0.0178859605687264,0.0165318497759932,"213/2033/54407/5366/96459/5899/4780/253260/80315/11152/23334/1591/8678/23032/7249/5564/7248/51100/26608/7071",20
"GO:1904358","positive regulation of telomere maintenance via telomere lengthening","7/587","37/18870",0.000124285059663603,0.0178859605687264,0.0165318497759932,"908/4751/3181/4216/140609/80351/10576",7
"GO:0050657","nucleic acid transport","15/587","158/18870",0.000126392080487965,0.0178859605687264,0.0165318497759932,"6741/7175/9444/23293/84248/10644/57122/26097/348995/9908/7248/3181/23165/8480/29890",15
"GO:0050658","RNA transport","15/587","158/18870",0.000126392080487965,0.0178859605687264,0.0165318497759932,"6741/7175/9444/23293/84248/10644/57122/26097/348995/9908/7248/3181/23165/8480/29890",15
"GO:0019318","hexose metabolic process","19/587","233/18870",0.000131989720664597,0.0178859605687264,0.0165318497759932,"5209/5214/1374/2530/2033/5210/3098/5366/7167/80201/4190/84706/221927/4124/57486/2519/140710/283209/1642",19
"GO:0018105","peptidyl-serine phosphorylation","22/587","295/18870",0.00014886035639342,0.0178859605687264,0.0165318497759932,"96459/253260/28996/202374/84930/22853/11329/23012/9475/10114/7150/5578/5603/200576/5217/2081/9641/57600/140609/817/5894/4140",22
"GO:0006403","RNA localization","17/587","197/18870",0.000149390427156529,0.0178859605687264,0.0165318497759932,"6741/908/7175/9444/23293/84248/10644/57122/26097/348995/9908/7248/3181/23165/8480/29890/10576",17
"GO:0009267","cellular response to starvation","16/587","179/18870",0.000154590609376825,0.0178859605687264,0.0165318497759932,"213/54407/5366/96459/5899/4780/80315/11152/23334/8678/23032/7249/7248/51100/26608/7071",16
"GO:0051236","establishment of RNA localization","15/587","161/18870",0.000155928780905325,0.0178859605687264,0.0165318497759932,"6741/7175/9444/23293/84248/10644/57122/26097/348995/9908/7248/3181/23165/8480/29890",15
"GO:0051028","mRNA transport","13/587","127/18870",0.000166176727220706,0.0178859605687264,0.0165318497759932,"7175/9444/23293/84248/10644/57122/26097/348995/9908/3181/23165/8480/29890",13
"GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","4/587","10/18870",0.000167615428277072,0.0178859605687264,0.0165318497759932,"26834/26835/26831/26830",4
"GO:0000365","mRNA trans splicing, via spliceosome","4/587","10/18870",0.000167615428277072,0.0178859605687264,0.0165318497759932,"26834/26835/26831/26830",4
"GO:0001731","formation of translation preinitiation complex","4/587","10/18870",0.000167615428277072,0.0178859605687264,0.0165318497759932,"1968/23521/8894/1983",4
"GO:0045291","mRNA trans splicing, SL addition","4/587","10/18870",0.000167615428277072,0.0178859605687264,0.0165318497759932,"26834/26835/26831/26830",4
"GO:0006605","protein targeting","24/587","339/18870",0.00016774640627176,0.0178859605687264,0.0165318497759932,"3329/6747/8943/9520/6729/10971/55187/66008/8678/6386/25793/1121/55294/200576/6734/23230/51100/64429/134266/64422/118424/51762/5190/117177",24
"GO:0043484","regulation of RNA splicing","16/587","181/18870",0.000175808953461047,0.0182884191832041,0.0169038390426604,"10658/54407/7009/9444/3190/81669/6431/3303/3181/2081/4691/9584/27339/8882/29890/10150",16
"GO:0031667","response to nutrient levels","31/587","495/18870",0.000190471231321649,0.0193419000377817,0.017877562939839,"1374/213/2033/6566/54407/5366/96459/5899/4780/5970/253260/5723/80315/11152/847/23334/1591/9779/8678/1373/8443/23032/7249/5564/84706/2771/7248/51100/26608/9388/7071",31
"GO:0070301","cellular response to hydrogen peroxide","9/587","67/18870",0.000219661587017063,0.0217873643866925,0.0201378860068275,"4780/5970/847/6188/8678/5603/23135/2081/55139",9
"GO:1902117","positive regulation of organelle assembly","10/587","83/18870",0.000248337131545877,0.0236066160994642,0.0218194057610893,"153241/5899/23019/11152/8678/6386/9908/401548/25782/51100",10
"GO:0051168","nuclear export","15/587","168/18870",0.000249073323441006,0.0236066160994642,0.0218194057610893,"6741/7175/5781/23293/5784/84248/57122/55153/26097/5905/7248/1434/3181/8480/29890",15
"GO:0034976","response to endoplasmic reticulum stress","20/587","266/18870",0.000263718205285389,0.0244512640335258,0.0226001070662193,"5366/7009/4780/10299/2907/23392/1080/6400/30001/160418/406985/7327/81542/7415/3303/2081/55139/118424/26608/10130",20
"GO:0042542","response to hydrogen peroxide","11/587","101/18870",0.000303474376803769,0.026560283535623,0.0245494568620739,"4780/5970/847/6188/836/8678/5603/23135/2081/55139/6647",11
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","23/587","332/18870",0.000310924745297544,0.026560283535623,0.0245494568620739,"26834/23524/9879/10658/26835/26986/11171/9444/26831/3190/101954269/55015/101447996/6431/26830/3181/22889/4691/9169/9584/27339/25804/29890",23
"GO:0000398","mRNA splicing, via spliceosome","23/587","332/18870",0.000310924745297544,0.026560283535623,0.0245494568620739,"26834/23524/9879/10658/26835/26986/11171/9444/26831/3190/101954269/55015/101447996/6431/26830/3181/22889/4691/9169/9584/27339/25804/29890",23
"GO:0043254","regulation of protein-containing complex assembly","27/587","419/18870",0.000311374953524302,0.026560283535623,0.0245494568620739,"2033/96459/23521/5899/51429/9855/253260/10109/5781/2314/6188/830/26054/57704/7415/5925/3303/5217/51100/3958/9641/57600/29766/140609/6709/829/5894",27
"GO:0000375","RNA splicing, via transesterification reactions","23/587","336/18870",0.00036839102047216,0.0308076020061522,0.0284752192294786,"26834/23524/9879/10658/26835/26986/11171/9444/26831/3190/101954269/55015/101447996/6431/26830/3181/22889/4691/9169/9584/27339/25804/29890",23
"GO:0006654","phosphatidic acid biosynthetic process","6/587","32/18870",0.000401429080948243,0.0329249044277742,0.0304322248613597,"55326/160851/8443/56894/253558/137964",6
"GO:0043112","receptor metabolic process","9/587","73/18870",0.000422914888682832,0.0340326792496656,0.0314561322366873,"2530/22853/8678/1889/5045/51100/5190/65977/302",9
"GO:0006413","translational initiation","12/587","123/18870",0.000456979895153491,0.0358046679133486,0.0330939671340755,"1968/27161/23521/253943/7175/28969/8894/6188/1983/5436/1967/10209",12
"GO:0006641","triglyceride metabolic process","11/587","106/18870",0.000461724908612936,0.0358046679133486,0.0330939671340755,"1374/5781/847/23259/6400/1373/8443/55294/9926/9388/137964",11
"GO:1902115","regulation of organelle assembly","17/587","218/18870",0.000492330745030344,0.0374962612063289,0.0346574932356887,"153241/5899/23019/6792/7175/11152/8678/6386/26054/9908/401548/200576/3303/25782/51100/64422/126731",17
"GO:2000785","regulation of autophagosome assembly","7/587","46/18870",0.000507348088236115,0.037962098181176,0.0350880626120822,"5899/11152/8678/401548/200576/25782/51100",7
"GO:0006606","protein import into nucleus","14/587","161/18870",0.000518167704554171,0.0379985593958638,0.0351217634201296,"2033/7175/3842/57122/7249/754/3836/1434/1871/55122/9670/3840/4851/8882",14
"GO:0060213","positive regulation of nuclear-transcribed mRNA poly(A) tail shortening","4/587","13/18870",0.000529693433385886,0.0379985593958638,0.0351217634201296,"26986/27161/23019/5436",4
"GO:0031668","cellular response to extracellular stimulus","20/587","281/18870",0.00053456355539316,0.0379985593958638,0.0351217634201296,"213/2033/54407/5366/96459/5899/4780/253260/80315/11152/23334/1591/8678/23032/7249/5564/7248/51100/26608/7071",20
"GO:0005996","monosaccharide metabolic process","19/587","261/18870",0.00055496016687349,0.0384036992524393,0.0354962309373444,"5209/5214/1374/2530/2033/5210/3098/5366/7167/80201/4190/84706/221927/4124/57486/2519/140710/283209/1642",19
"GO:0032212","positive regulation of telomere maintenance via telomerase","6/587","34/18870",0.000565183760542777,0.0384036992524393,0.0354962309373444,"908/4751/4216/140609/80351/10576",6
"GO:0006405","RNA export from nucleus","10/587","92/18870",0.000573787751563621,0.0384036992524393,0.0354962309373444,"6741/7175/23293/84248/57122/26097/7248/3181/8480/29890",10
"GO:1904356","regulation of telomere maintenance via telomere lengthening","8/587","61/18870",0.000576280598395338,0.0384036992524393,0.0354962309373444,"908/23293/4751/3181/4216/140609/80351/10576",8
"GO:0035305","negative regulation of dephosphorylation","6/587","35/18870",0.000664393315735162,0.0435944229478533,0.0402939751810232,"91272/84930/23075/9475/8826/3958",6
"GO:0051170","import into nucleus","14/587","166/18870",0.000702949272833082,0.0454254340701984,0.0419863640631562,"2033/7175/3842/57122/7249/754/3836/1434/1871/55122/9670/3840/4851/8882",14
"GO:0016236","macroautophagy","22/587","331/18870",0.000726749092849531,0.0462624609104963,0.0427600212524979,"5899/2773/55187/23241/55054/11152/523/836/9779/8678/7249/8992/7248/401548/200576/9517/58533/7415/25782/51100/2081/64422",22
"GO:0046473","phosphatidic acid metabolic process","6/587","36/18870",0.000776567446726867,0.0487067670630895,0.0450192738079275,"55326/160851/8443/56894/253558/137964",6
